приложения недоступен	application unavailable	Anwendung nicht verfügbar	aplicación no disponible
Онлайн-режим не загрузился	Online mode could not load	Onlinemodus konnte nicht geladen werden	No se pudo cargar el modo en línea
Один или несколько игроков — соглядатаи. Остальные знают локацию. После раздачи ролей обсуждайте и голосуйте.	One or more players are spies. Others know the location. After dealing roles, discuss and vote.	Ein oder mehrere Spieler sind Spione. Die anderen kennen den Ort. Nach der Rollenverteilung diskutiert ihr und stimmt ab.	Uno o varios jugadores son espías. Los demás conocen el lugar. Tras repartir roles, debatid y votad.
От 3 до 20	From 3 to 20	Von 3 bis 20	De 3 a 20
Количество соглядатаев	Number of spies	Anzahl der Spione	Número de espías
Должно быть меньше игроков	Must be fewer than the player count	Muss kleiner als die Spielerzahl sein	Debe ser menor que el número de jugadores
Не удалось загрузить локации	Could not load locations	Orte konnten nicht geladen werden	No se pudieron cargar los lugares
Проверьте файл	Check the file	Prüfe die Datei	Revisa el archivo
и попробуйте снова.	and try again.	und versuche es erneut.	e inténtalo de nuevo.
Введите все значения	Enter all values	Gib alle Werte ein	Introduce todos los valores
Все значения должны быть числами	All values must be numbers	Alle Werte müssen Zahlen sein	Todos los valores deben ser números
Количество игроков должно быть от 3 до 20	There must be 3 to 20 players	Es müssen 3 bis 20 Spieler sein	Debe haber de 3 a 20 jugadores
Соглядатаев должно быть минимум 1 и меньше, чем игроков	At least 1 spy, fewer than the number of players	Mindestens 1 Spion, weniger als die Spielerzahl	Al menos 1 espía y menos que el número de jugadores
Список локаций пуст.	Location list is empty.	Ortsliste ist leer.	La lista de lugares está vacía.
Секретная карточка	Secret card	Geheime Karte	Carta secreta
Передайте телефон игроку	Pass the phone to player	Gib das Handy an Spieler	Pasa el teléfono al jugador
Нажмите на карточку так, чтобы роль не увидели другие.	Tap the card without showing your role to others.	Tippe auf die Karte, ohne anderen deine Rolle zu zeigen.	Pulsa la carta sin que los demás vean tu rol.
Карточка перевернётся с анимацией. После просмотра нажмите «Передать следующему».	The card will flip. After viewing it, tap Pass to next player.	Die Karte dreht sich um. Tippe danach auf Weitergeben.	La carta se girará. Después de verla, pulsa Pasar al siguiente.
Показать роль игрока	Show player role	Spielerrolle zeigen	Mostrar rol del jugador
Перевернуть карточку	Flip card	Karte umdrehen	Voltear carta
Передать следующему	Pass to next player	Weitergeben	Pasar al siguiente
Вы — соглядатай	You are a spy	Du bist ein Spion	Eres un espía
Узнайте локацию по ответам игроков	Work out the location from the answers	Ermittle den Ort aus den Antworten	Descubre el lugar por las respuestas
Запомните место и не показывайте экран	Remember the place and keep your screen private	Merke dir den Ort und zeige deinen Bildschirm nicht	Recuerda el lugar y no muestres la pantalla
Роль игрока	Player role	Spielerrolle	Rol del jugador
Раунд общения	Discussion round	Gesprächsrunde	Ronda de debate
Обсуждение началось	Discussion started	Diskussion gestartet	Debate iniciado
Задавайте вопросы и ищите игроков, которые не знают локацию.	Ask questions and find players who do not know the location.	Stelle Fragen und finde Spieler, die den Ort nicht kennen.	Haz preguntas y busca a quienes no conocen el lugar.
Сменить режим	Change mode	Modus wechseln	Cambiar modo
Кто соглядатай?	Who is a spy?	Wer ist ein Spion?	¿Quién es espía?
Проголосовать	Vote	Abstimmen	Votar
Соглядатай угадывает локацию	Spy guesses the location	Spion errät den Ort	El espía adivina el lugar
Угадай локацию	Guess the location	Errate den Ort	Adivina el lugar
Вариант соглядатая	Spy guess	Antwort des Spions	Respuesta del espía
Введите локацию	Enter location	Ort eingeben	Introduce el lugar
Проверить	Check	Prüfen	Comprobar
Соглядатай угадал!	The spy guessed correctly!	Der Spion hat richtig geraten!	¡El espía ha acertado!
Соглядатай не угадал.	The spy guessed incorrectly.	Der Spion hat falsch geraten.	El espía no ha acertado.
Соглядатаи найдены	Spies found	Spione gefunden	Espías descubiertos
Соглядатаи скрылись	Spies escaped	Spione entkommen	Los espías escaparon
Конец игры	Game over	Spielende	Fin del juego
Соглядатаи	Spies	Spione	Espías
должен быть положительным целым числом	must be a positive integer	muss eine positive ganze Zahl sein	debe ser un entero positivo
аноним	anonymous	anonym	anónimo
Слова	Words	Wörter	Palabras
Свящ.	Sacred	Heilig	Sagrada
Лобби	Lobby	Lobby	Sala de espera
Игра	Game	Spiel	Juego
Рисование	Drawing	Zeichnen	Dibujo
Проверка ответа	Answer review	Antwortprüfung	Revisión de respuesta
Финальный ответ	Final answer	Letzte Antwort	Respuesta final
Завершено	Completed	Abgeschlossen	Completado
Объясняй слова на скорость	Explain words against the clock	Erkläre Wörter auf Zeit	Explica palabras contrarreloj
Ассоциации и быстрые идеи	Associations and quick ideas	Assoziationen und schnelle Ideen	Asociaciones e ideas rápidas
Вопросы, версии, логика	Questions, guesses and logic	Fragen, Vermutungen und Logik	Preguntas, hipótesis y lógica
Подсказки без прямого ответа	Clues without giving the answer	Hinweise ohne direkte Antwort	Pistas sin dar la respuesta
Секретная роль и локация	Secret role and location	Geheime Rolle und Ort	Rol y lugar secretos
Собери четыре карты	Collect four cards	Sammle vier Karten	Reúne cuatro cartas
Собери слова из букв	Make words from letters	Bilde Wörter aus Buchstaben	Forma palabras con letras
Найди скрытые слова	Find hidden words	Finde versteckte Wörter	Encuentra palabras ocultas
Открой слово по подсказкам	Reveal the word using hints	Entdecke das Wort mit Hinweisen	Descubre la palabra con pistas
Соберите животных попарно	Match the animals in pairs	Finde die Tierpaare	Empareja los animales
Ведите корзинку по течению	Guide the basket downriver	Lenke das Körbchen flussabwärts	Guía la cesta río abajo
В очереди	Queued	In Warteschlange	En cola
Отправляется	Sending	Wird gesendet	Enviando
Завершена	Completed	Abgeschlossen	Completada
Отменена	Cancelled	Abgebrochen	Cancelada
Текст	Text	Text	Texto
От 2 игроков	2+ players	Ab 2 Spielern	Desde 2 jugadores
мин / раунд	min / round	Min. / Runde	min / ronda
Без сети	Offline	Offline	Sin conexión
Вместе / онлайн	Together / online	Zusammen / online	Juntos / en línea
Нужен интернет	Internet required	Internet erforderlich	Requiere internet
От 3 игроков	3+ players	Ab 3 Spielern	Desde 3 jugadores
мин / уровень	min / level	Min. / Level	min / nivel
мин / забег	min / run	Min. / Lauf	min / recorrido
Игра на скорость	Speed game	Tempospiel	Juego de velocidad
Перемешиваем слова…	Shuffling words…	Wörter werden gemischt…	Mezclando palabras…
